Date,SP500_Close,XLY_Close,XLP_Close,XLE_Close,XLF_Close,XLV_Close,XLI_Close,XLB_Close,XLK_Close,XLU_Close
4/15/2009,852.06,21.5,21.69,45.04,8.81,24.35,20.43,24.26,16.5,25.64
4/16/2009,865.3,22.25,21.98,45.25,8.91,24.46,21.12,24.27,16.99,25.82
4/17/2009,869.6,22.52,22.09,45.78,9.02,24.74,21.11,24.45,16.96,25.78
4/20/2009,832.39,21.66,21.66,43.56,8.01,24.26,20.18,23.32,16.42,25.49
4/21/2009,850.08,22.02,21.88,44.42,8.61,24.03,20.67,23.79,16.7,25.58
4/22/2009,843.55,22.24,21.59,43.95,8.3,23.77,20.99,23.9,16.78,25.31
4/23/2009,851.92,22.24,21.59,44.77,8.69,23.79,21.22,23.96,16.86,25.4
4/24/2009,866.23,22.79,21.5,46.07,8.88,23.76,21.66,25.1,17.1,25.36
4/27/2009,857.51,22.49,21.63,45.2,8.74,24.02,21.23,24.55,17.02,25.54
4/28/2009,855.16,22.49,21.73,45.3,8.47,24.11,20.98,24.42,17.01,25.64
4/29/2009,873.64,22.9,22.09,46.55,8.84,24.2,21.68,24.97,17.2,25.83
4/30/2009,872.81,23.29,22,45.78,8.71,24.18,21.76,25.67,17.25,25.85
5/1/2009,877.52,23.18,22.09,47.26,8.65,24.14,22,25.73,17.48,26.53
5/4/2009,907.24,23.93,22.43,49.15,9.53,24.54,22.72,27.18,17.8,26.93
5/5/2009,903.8,23.92,22.24,48.49,9.39,24.82,22.79,27.02,17.69,26.88
5/6/2009,919.53,24.17,22.38,50.37,10.13,24.67,23.15,27.13,17.79,26.72
5/7/2009,907.39,23.64,22.47,49.72,9.84,25.17,22.68,26.24,17.11,26.86
5/8/2009,929.23,23.99,22.76,51.84,10.57,25.59,23.51,26.8,17.09,27.25
5/11/2009,909.24,23.57,22.65,50.26,9.96,25.15,22.81,26.41,17.14,27.13
5/12/2009,908.35,23.07,22.92,50.58,9.74,25.56,22.56,26.67,17.05,27.32
5/13/2009,883.92,22.26,22.5,48.91,9.25,25.5,21.63,25.52,16.62,26.59
5/14/2009,893.07,22.29,22.58,49.05,9.56,25.53,21.79,25.74,16.8,26.57
5/15/2009,882.88,22.13,22.37,48,9.36,25.33,21.8,25.83,16.8,25.94
5/18/2009,909.71,23.22,22.84,49.66,9.98,25.58,22.6,26.57,17.26,25.94
5/19/2009,908.13,23.13,22.97,49.9,9.78,25.39,22.43,26.88,17.36,26.41
5/20/2009,903.47,22.88,23,50.07,9.52,25.49,22.45,27,17.18,25.93
5/21/2009,888.33,22.34,22.79,48.59,9.53,25.26,21.77,26.4,16.88,25.62
5/22/2009,887,22.58,22.93,48.61,9.47,25.29,21.69,26.3,16.94,25.83
5/26/2009,910.33,23.34,23.22,49.64,9.78,25.52,22.48,26.93,17.38,26.58
5/27/2009,893.06,22.83,22.63,49.1,9.48,25.26,21.75,25.92,17.21,26.04
5/28/2009,906.83,22.74,22.87,50.73,9.75,25.39,21.96,26.38,17.46,26.58
5/29/2009,919.14,23.12,23.12,51.68,9.93,25.83,22.49,27.17,17.65,26.77
6/1/2009,942.87,24.23,23.58,53.58,10.04,26,23.53,28,18.15,27.63
6/2/2009,944.74,24.43,23.82,53.44,9.87,26.16,23.57,28.28,18.11,27.3
6/3/2009,931.76,24.11,23.7,51.38,9.74,26.1,23.11,27.31,17.91,26.84
6/4/2009,942.46,24.16,23.74,52.54,10.09,25.74,23.53,27.94,18.16,27.09
6/5/2009,940.09,24.01,23.62,52.11,10,25.79,23.73,27.54,18.34,27.12
6/8/2009,939.14,24.23,23.71,51.99,10.08,25.51,23.79,27.4,18.23,26.95
6/9/2009,942.43,24.37,23.5,52.5,10.15,25.38,23.74,27.89,18.31,26.88
6/10/2009,939.15,24.01,23.24,52.97,10,25.27,23.59,27.92,18.36,27.3
6/11/2009,944.89,23.89,23.34,54.03,10.08,25.54,23.55,28.31,18.43,27.83
6/12/2009,946.21,23.86,23.52,53.51,10.14,25.63,23.59,28.02,18.38,28.18
6/15/2009,923.72,23.38,22.95,52.09,9.88,24.84,22.87,27.08,18.19,27.61
6/16/2009,911.97,22.79,22.65,50.98,9.71,24.94,22.45,26.35,17.96,27.42
6/17/2009,910.71,23.11,22.88,50.15,9.43,25.51,22.28,26.05,18.06,27.5
6/18/2009,918.37,23.04,23.3,49.96,9.66,26,22.3,26.27,17.98,28.12
6/19/2009,921.23,23.13,22.89,49.21,9.78,26.08,22.2,26.07,18.12,27.47
6/22/2009,893.04,22.44,22.8,46.75,9.21,25.61,21.46,24.75,17.67,27.39
6/23/2009,895.1,22.21,22.66,47.03,9.31,25.53,21.26,25.07,17.68,27.15
6/24/2009,900.94,22.34,22.72,47.22,9.43,25.66,21.4,25.32,17.93,27.38
6/25/2009,920.26,23.12,23.11,48.21,9.63,26.37,22.06,25.86,18.19,27.84
6/26/2009,918.9,22.96,23.03,47.89,9.68,26.37,21.97,25.82,18.16,27.74
6/29/2009,927.23,23.25,23.17,48.34,9.8,26.53,22.19,26.05,18.35,28.1
6/30/2009,919.32,23.08,22.99,48.05,9.7,26.31,21.96,25.8,18.21,27.89
7/1/2009,923.33,23.23,23.38,48.09,9.65,26.38,22.05,25.86,18.29,28.25
7/2/2009,896.42,22.29,22.89,46.16,9.31,25.75,21.36,25.15,17.83,27.44
7/6/2009,898.72,22.4,23.36,45.69,9.32,25.95,21.37,24.95,17.78,27.6
7/7/2009,881.03,21.8,23.07,44.52,9.18,25.85,20.64,24.24,17.34,27.05
7/8/2009,879.56,21.98,23.17,44.53,9.02,26.09,20.56,24.26,17.35,26.93
7/9/2009,882.68,22.14,23,44.99,9.14,25.76,20.75,24.45,17.46,26.94
7/10/2009,879.13,22.1,22.89,44.67,9.01,25.64,20.72,24.31,17.53,26.91
7/13/2009,901.05,22.46,23.3,45.35,9.59,26.09,21.25,25.05,17.86,27.38
7/14/2009,905.84,22.81,23.37,45.96,9.55,26.21,21.56,25.24,17.88,27.59
7/15/2009,932.68,23.44,23.75,47.59,9.96,26.44,22.23,26.23,18.55,28.14
7/16/2009,940.74,23.73,23.91,48.17,9.92,26.61,22.64,26.48,18.82,28.15
7/17/2009,940.38,23.77,23.93,48.45,9.86,26.53,22.38,26.61,19,28.02
7/20/2009,951.13,24.27,24,49.28,9.94,26.59,22.83,27.18,19.17,28.23
7/21/2009,954.58,24.27,23.97,49.71,9.85,26.98,22.84,27.5,19.28,28.51
7/22/2009,954.07,24.44,23.98,49.26,9.86,26.88,22.91,27.58,19.39,28.36
7/23/2009,976.29,25.01,24.31,50.66,10.14,27.42,23.39,28.52,19.77,29.1
7/24/2009,979.26,24.99,24.53,51.19,10.09,27.9,23.41,28.75,19.65,29.56
7/27/2009,982.18,25.09,24.44,51.36,10.25,27.88,23.54,28.81,19.65,29.49
7/28/2009,979.62,25.01,24.47,50.61,10.22,28.07,23.52,28.57,19.69,29.01
7/29/2009,975.15,24.88,24.6,49.44,10.22,28.05,23.41,27.97,19.67,28.87
7/30/2009,986.75,25.27,24.57,50.13,10.46,28.09,23.79,28.82,19.77,29.31
7/31/2009,987.48,25.27,24.52,50.62,10.56,27.87,23.88,29.12,19.7,28.94
8/3/2009,1002.63,25.79,24.55,51.92,10.83,28.04,24.4,30.15,19.97,29.23
8/4/2009,1005.65,25.9,24.59,51.83,11.05,28.11,24.58,30.04,19.91,28.8
8/5/2009,1002.72,25.68,24.43,51.31,11.43,27.71,24.38,30.28,19.73,28.6
8/6/2009,997.08,25.66,24.18,50.89,11.35,27.51,24.51,30.03,19.59,28.65
8/7/2009,1010.48,26.5,24.28,50.83,11.65,27.63,25.12,30.21,19.79,28.92
8/10/2009,1007.1,26.26,24.3,51.05,11.6,27.85,24.88,29.81,19.7,28.98
8/11/2009,994.35,25.98,24.3,50.31,11.17,27.81,24.55,29.74,19.42,29
8/12/2009,1005.81,26.17,24.29,50.85,11.4,27.96,24.98,30.01,19.81,29.14
8/13/2009,1012.73,26.24,24.43,51.47,11.64,27.93,25.09,30.56,19.9,29.04
8/14/2009,1004.09,25.88,24.4,50.71,11.56,27.93,24.73,29.79,19.71,29.04
8/17/2009,979.73,25.06,24.15,49.07,11.08,27.82,24,28.66,19.24,28.64
8/18/2009,989.67,25.34,24.19,49.56,11.3,27.8,24.29,29.09,19.53,28.7
8/19/2009,996.46,25.6,24.35,50.48,11.3,28.19,24.36,29.47,19.58,28.91
8/20/2009,1007.37,25.79,24.47,50.91,11.59,28.39,24.66,29.53,19.8,29.15
8/21/2009,1026.13,26.32,24.74,52.35,11.82,28.68,25.3,30.31,20.09,29.72
8/24/2009,1025.56,26.13,24.75,53.02,11.72,28.88,25.35,30.07,20.03,29.77
8/25/2009,1028,26.4,24.79,52.21,11.87,28.88,25.49,29.92,20.08,29.58
8/26/2009,1028.12,26.55,24.87,52.45,11.84,28.89,25.23,29.81,20.17,29.55
8/27/2009,1030.98,26.6,24.87,52.29,11.96,28.88,25.46,30.02,20.21,29.55
8/28/2009,1028.93,26.61,24.77,52.18,11.98,28.67,25.32,30.21,20.28,29.48
8/31/2009,1020.62,26.16,24.82,51.17,11.94,28.62,25.02,29.81,20.02,29.23
9/1/2009,998.04,25.69,24.59,50.28,11.3,28.16,24.6,28.93,19.61,29
9/2/2009,994.75,25.56,24.61,49.91,11.2,28.22,24.5,29.2,19.65,28.8
9/3/2009,1003.24,25.83,24.66,50.26,11.42,28.09,24.82,29.62,19.74,28.78
9/4/2009,1016.4,26.3,24.84,50.96,11.55,28.49,25.31,30.03,20.09,28.92
9/8/2009,1025.39,26.53,25.05,52.36,11.6,28.36,25.53,30.44,20.24,28.99
9/9/2009,1033.37,26.81,25.04,52.48,11.77,28.69,25.96,30.58,20.39,28.95
9/10/2009,1044.14,27.17,25.22,53.39,11.87,28.91,26.18,30.75,20.67,28.95
9/11/2009,1042.73,27.08,25.33,53.6,11.8,28.92,26.35,30.79,20.69,28.94
9/14/2009,1049.34,27.17,25.27,54,11.95,29.03,26.6,31.18,20.62,29.36
9/15/2009,1052.63,27.3,25.14,54.54,11.98,28.77,26.92,31.87,20.76,29.58
9/16/2009,1068.76,27.82,25.34,55.89,12.39,29.03,27.26,32.31,20.92,30.05
9/17/2009,1065.49,27.79,25.25,55.62,12.35,29.01,27.31,32.16,20.84,29.85
9/18/2009,1068.3,27.8,25.4,55.18,12.29,28.76,27.01,32.01,20.89,29.68
9/21/2009,1064.66,27.69,25.32,54.71,12.18,29.04,26.85,31.69,20.8,29.54
9/22/2009,1071.66,27.8,25.37,55.57,12.46,28.95,27.17,32.04,20.91,29.46
9/23/2009,1060.87,27.4,25.37,54.41,12.21,28.54,26.94,31.53,20.91,29.36
9/24/2009,1050.78,27.14,25.24,53.63,11.96,28.51,26.5,30.84,20.71,29.28
9/25/2009,1044.38,26.98,25.24,53.56,11.85,28.53,26.13,30.54,20.58,29.2
9/28/2009,1062.98,27.49,25.29,54.42,12.25,28.84,26.67,31.12,20.92,29.45
9/29/2009,1060.61,27.62,25.41,54.27,12.19,28.88,26.61,31.15,20.81,29.51
9/30/2009,1057.07,27.47,25.46,53.92,12.13,28.67,26.34,30.94,20.87,29.33
10/1/2009,1029.85,26.87,25.23,52.24,11.6,28.26,25.68,29.73,20.25,28.83
10/2/2009,1025.21,26.53,25.31,51.97,11.6,28.15,25.35,29.61,20.25,28.52
10/5/2009,1040.46,26.94,25.37,53.12,11.97,28.33,25.87,30.11,20.42,28.83
10/6/2009,1054.72,27.35,25.6,54.38,12.12,28.56,26.12,30.74,20.79,29.05
10/7/2009,1057.57,27.37,25.71,54.8,12.25,28.58,26.02,30.75,20.75,29.07
10/8/2009,1065.48,27.81,25.86,56.21,12.27,28.61,26.48,31.47,20.88,29.07
10/9/2009,1071.49,27.8,25.92,56.16,12.38,28.88,26.55,31.5,21.02,29.25
10/12/2009,1076.18,27.94,26.03,56.92,12.47,29.02,26.5,31.58,21.03,29.55
10/13/2009,1073.18,27.99,25.94,57.01,12.35,28.74,26.52,31.75,21.11,29.34
10/14/2009,1092.02,28.34,26.03,57.96,12.77,29.18,27.29,32.43,21.36,29.36
10/15/2009,1096.56,28.38,26.23,59.17,12.66,29.26,27.25,32.49,21.32,29.59
10/16/2009,1087.68,28.33,26.37,58.99,12.36,29.24,27.06,32.04,21.12,29.69
10/19/2009,1097.91,28.65,26.52,59.76,12.42,29.49,27.35,32.53,21.35,30.11
10/20/2009,1091.06,28.36,26.49,59.38,12.32,29.21,27.16,32.19,21.28,29.81
10/21/2009,1081.4,27.99,26.29,59.22,12.08,28.83,26.97,31.81,21.29,29.85
10/22/2009,1092.91,28.36,26.33,59.45,12.44,29.01,27.16,32.19,21.39,29.92
10/23/2009,1079.6,28.25,26.07,58.3,12.26,28.71,26.68,31.55,21.33,29.43
10/26/2009,1066.94,28.08,25.87,57.34,11.95,28.4,26.47,30.74,21.19,29.04
10/27/2009,1063.41,27.6,25.89,57.85,11.86,28.52,26.11,30.49,21.08,28.97
10/28/2009,1042.63,26.82,25.82,55.94,11.49,28.23,25.57,29.55,20.77,28.68
10/29/2009,1066.11,27.54,26.24,57.43,11.97,28.48,26.18,30.43,21.17,28.93
10/30/2009,1036.18,26.82,25.83,55.25,11.41,28.07,25.29,29.34,20.61,28.39
11/2/2009,1042.88,27.08,26.08,55.6,11.51,28.19,25.58,29.6,20.73,28.34
11/3/2009,1045.41,27.1,25.91,56.32,11.54,28.2,26.02,29.9,20.65,28.28
11/4/2009,1046.5,27.11,26.01,56.27,11.38,28.56,25.97,29.9,20.77,28.47
11/5/2009,1066.63,27.85,26.13,57.23,11.67,29.03,26.64,30.43,21.22,28.95
11/6/2009,1069.3,28.1,26.2,57.08,11.62,29.16,26.88,30.69,21.25,28.92
11/9/2009,1093.07,28.71,26.63,58.17,12.03,29.65,27.56,31.69,21.74,29.44
11/10/2009,1093.01,28.81,26.62,58.21,11.99,29.85,27.4,31.73,21.73,29.58
11/11/2009,1098.51,28.84,26.7,58.19,12.16,29.89,27.61,32.04,21.86,29.51
11/12/2009,1087.24,28.52,26.54,56.91,11.93,29.72,27.29,31.89,21.7,29.1
11/13/2009,1093.48,29.02,26.72,57.27,11.9,29.78,27.5,32.01,21.9,29.36
11/16/2009,1109.3,29.49,26.87,58.77,12.03,30.08,28.13,32.67,22.14,29.77
11/17/2009,1110.31,29.25,27,58.67,12.07,30.16,28.08,33.05,22.24,29.61
11/18/2009,1109.8,29.17,26.98,58.44,12.16,30.33,27.93,33.05,22.12,29.48
11/19/2009,1094.9,28.84,26.85,57.13,11.93,30.18,27.51,32.55,21.8,29.12
11/20/2009,1091.38,28.69,26.89,56.6,11.86,30.39,27.46,32.44,21.69,29.25
11/23/2009,1106.24,28.94,27.12,57.33,12.03,30.67,27.96,32.77,22.07,29.62
11/24/2009,1105.65,28.91,27.18,57.66,11.94,30.91,27.73,32.73,22.03,29.68
11/25/2009,1110.63,29.19,27.13,58.11,11.91,31.1,27.96,33.26,22.07,30.02
11/27/2009,1091.49,28.62,26.88,57.02,11.6,30.79,27.42,32.35,21.71,29.51
11/30/2009,1095.63,28.62,26.78,56.82,11.9,30.68,27.51,32.5,21.75,29.76
12/1/2009,1108.86,29.07,27.15,57.57,11.91,31.22,27.96,33.13,22.1,30.32
12/2/2009,1109.24,29.16,27.12,57.23,11.9,31.15,27.88,33.45,22.07,30.73
12/3/2009,1099.92,28.96,26.91,56.31,11.66,31,27.75,32.91,22.08,30.83
12/4/2009,1105.98,29.15,27.05,55.9,11.88,30.98,28.17,32.55,22.22,30.64
12/7/2009,1103.25,29.24,27.02,55.77,11.69,30.94,28.07,32.59,22.18,30.91
12/8/2009,1091.93,29.02,26.71,54.82,11.58,30.7,27.64,32.07,21.98,30.78
12/9/2009,1095.94,29.02,26.76,54.82,11.62,30.96,27.77,32.47,22.19,30.89
