Date,SP500_Close,XLY_Close,XLP_Close,XLE_Close,XLF_Close,XLV_Close,XLI_Close,XLB_Close,XLK_Close,XLU_Close,SP_change,PctChange
3/12/2003,804.19,20.9,18.14,21.8,15.96,25.3,18.22,17.25,13.82,17.53,,
3/13/2003,831.9,22.01,18.54,21.89,16.64,25.66,18.75,18.02,14.56,17.84,3%,78
3/14/2003,833.27,22.05,18.51,21.8,16.71,25.45,19.05,18.12,14.61,17.91,0%,40
3/17/2003,862.79,23.11,19.04,22.08,17.22,26.17,19.59,18.73,15.28,18.31,4%,79
3/18/2003,866.45,22.96,18.9,22.5,17.32,26.45,19.85,19.1,15.35,18.52,0%,49
3/19/2003,874.02,23.4,19.22,22.53,17.57,26.75,19.97,19.03,15.32,18.42,1%,57
3/20/2003,875.84,23.58,19.18,22.75,17.6,26.72,19.96,19.06,15.3,18.63,0%,43
3/21/2003,895.89,24.28,19.49,22.38,17.96,27.34,20.58,19.66,15.53,18.74,2%,76
3/24/2003,864.23,23.17,18.97,22.05,17.34,26.57,19.85,18.89,14.9,18.28,-4%,1
3/25/2003,874.74,23.51,18.98,22.25,17.47,27.1,19.89,18.91,15.11,18.53,1%,63
3/26/2003,869.95,23.54,18.91,22.3,17.39,26.89,19.89,18.86,15.06,18.37,-1%,17
3/27/2003,868.52,23.45,18.95,22.48,17.28,26.99,19.84,18.64,14.89,18.46,0%,30
3/28/2003,863.5,23.21,18.75,22.68,17.26,27.03,19.62,18.68,14.7,18.49,-1%,16
3/31/2003,848.18,22.73,18.57,22.32,16.86,26.72,19.31,18.38,14.3,18.4,-2%,3
4/1/2003,858.48,23,18.51,22.74,17.3,27.09,19.58,18.58,14.47,18.53,1%,62
4/2/2003,880.9,23.6,18.9,22.69,17.76,27.49,20.02,18.96,15.09,18.54,3%,77
4/3/2003,876.45,23.72,18.77,22.27,17.68,27.42,20,18.77,15.05,18.47,-1%,19
4/4/2003,878.85,23.89,18.85,22.39,17.86,27.53,20.05,18.88,14.88,18.7,0%,44
4/7/2003,879.93,24.1,18.75,22.22,17.92,27.29,20.2,19.03,14.92,18.7,0%,38
4/8/2003,878.29,24.12,18.97,21.95,17.92,27.32,20.12,18.91,14.77,18.58,0%,27
4/9/2003,865.99,23.8,18.82,21.94,17.67,26.96,19.88,18.58,14.45,18.54,-1%,6
4/10/2003,871.58,24.07,18.88,22.24,17.82,26.91,19.91,18.65,14.54,18.7,1%,52
4/11/2003,868.3,23.82,18.92,22.11,17.81,26.78,19.94,18.61,14.41,18.64,0%,21
4/14/2003,885.23,24.43,19.25,22.22,18.17,27.22,20.28,18.98,14.76,18.88,2%,72
4/15/2003,890.81,24.61,19.32,22.16,18.47,27.05,20.45,19.31,14.79,19.12,1%,51
4/16/2003,879.91,24.27,18.77,21.86,18.22,26.41,20.17,19.05,14.9,19.1,-1%,8
4/17/2003,893.58,24.73,19.1,22.3,18.55,26.67,20.5,19.32,15.21,19.14,2%,70
4/21/2003,892.01,24.74,18.96,22.29,18.48,26.74,20.32,19.29,15.15,19.32,0%,29
4/22/2003,911.37,25.24,19.3,22.6,19.05,27.19,20.93,19.69,15.48,19.59,2%,74
4/23/2003,919.02,25.5,19.26,22.6,19.19,27.42,21.1,19.84,15.74,19.59,1%,55
4/24/2003,911.43,25.1,19.13,22.52,18.79,27.59,20.9,19.73,15.6,19.77,-1%,14
4/25/2003,898.81,24.72,18.84,22.24,18.59,27.21,20.74,19.43,15.31,19.72,-1%,7
4/28/2003,914.84,25.29,19.11,22.34,18.91,27.43,21.11,19.77,15.63,19.99,2%,71
4/29/2003,917.84,25.5,19.28,22.03,18.94,27.6,21.17,19.94,15.79,20.02,0%,45
4/30/2003,916.92,25.39,19.12,22.13,18.98,27.6,21.4,20.04,15.61,19.99,0%,33
5/1/2003,916.3,25.16,19.1,22.24,18.97,27.68,21.08,19.9,15.76,19.72,0%,34
5/2/2003,930.08,25.4,19.25,22.59,19.27,28.1,21.37,20.16,16.09,19.88,2%,68
5/5/2003,926.55,25.31,19.13,22.73,19.19,28.14,21.3,20.11,16.05,19.96,0%,20
5/6/2003,934.39,25.64,19.23,22.7,19.33,28.19,21.36,20.24,16.34,19.93,1%,56
5/7/2003,929.62,25.62,19.28,22.85,19.21,27.95,21.33,20.1,16.14,19.9,-1%,18
5/8/2003,920.27,25.38,19.19,22.88,18.99,27.85,21.13,19.9,15.88,19.87,-1%,10
5/9/2003,933.41,25.67,19.43,23.03,19.12,28.16,21.45,20.27,16.32,20,1%,66
5/12/2003,945.11,26.06,19.6,23.14,19.33,28.44,21.61,20.56,16.57,20.15,1%,64
5/13/2003,942.3,26.03,19.51,23.4,19.28,28.5,21.54,20.42,16.54,20.19,0%,24
5/14/2003,939.28,25.83,19.36,23.5,19.27,28.45,21.47,20.3,16.48,20.28,0%,23
5/15/2003,946.67,25.89,19.51,23.51,19.46,28.72,21.7,20.42,16.65,20.59,1%,53
5/16/2003,944.3,25.93,19.4,23.59,19.51,28.65,21.6,20.33,16.5,21.02,0%,25
5/19/2003,920.77,25.15,19.21,23.35,18.99,27.68,21.04,19.95,15.9,20.69,-2%,2
5/20/2003,919.73,25.16,19.33,23.26,19,27.34,21.16,19.89,15.93,20.78,0%,32
5/21/2003,923.42,25.27,19.48,23.95,19.04,27.54,21.04,20.02,15.95,20.73,0%,48
5/22/2003,931.87,25.7,19.74,23.9,19.1,27.85,21.2,20.19,16.12,21.1,1%,59
5/23/2003,933.22,25.61,19.64,24.12,19.17,27.74,21.28,20.22,16.14,21.9,0%,39
5/27/2003,951.48,26.2,19.83,24.6,19.52,28.14,21.8,20.58,16.56,22.22,2%,73
5/28/2003,953.22,26.21,19.95,24.31,19.76,28.09,21.72,20.52,16.67,22.12,0%,41
5/29/2003,949.64,26.18,19.85,24.08,19.55,27.86,21.48,20.35,16.71,21.79,0%,22
5/30/2003,963.59,26.74,20.06,24.48,19.94,28.17,21.98,20.66,16.95,22.01,1%,67
6/2/2003,967,26.99,20.02,24.61,20.12,27.95,22.2,20.86,16.86,22.2,0%,46
6/3/2003,971.56,26.95,20.22,24.79,20.24,28.17,22.23,20.87,17.01,22.29,0%,50
6/4/2003,986.24,27.37,20.37,24.95,20.53,28.66,22.52,21.22,17.37,22.6,2%,69
6/5/2003,990.14,27.52,20.39,24.82,20.66,28.93,22.58,21.27,17.37,22.34,0%,47
6/6/2003,987.76,27.38,20.32,24.77,20.64,29.19,22.77,21.23,17.2,22.1,0%,26
6/9/2003,975.93,26.99,20.28,24.73,20.21,28.89,22.47,20.87,16.95,22.08,-1%,9
6/10/2003,984.84,27.29,20.34,24.88,20.38,29.11,22.59,21.02,17.19,22.18,1%,58
6/11/2003,997.48,27.59,20.49,25.6,20.69,29.44,23.04,21.22,17.3,22.35,1%,65
6/12/2003,998.51,27.76,20.56,25.37,20.65,29.5,23.1,21.4,17.38,22.62,0%,37
6/13/2003,988.61,27.46,20.36,24.94,20.58,29.32,22.85,21.12,17,22.32,-1%,11
6/16/2003,1010.74,28.1,20.77,24.92,21.08,30.21,23.4,21.55,17.42,22.75,2%,75
6/17/2003,1011.66,28.1,20.64,24.68,21.07,30.81,23.41,21.63,17.5,22.64,0%,35
6/18/2003,1010.09,27.84,20.61,24.53,20.87,30.73,23.29,21.41,17.67,22.75,0%,31
6/19/2003,994.7,27.38,20.38,24.66,20.37,30.07,22.86,21.31,17.54,22.82,-2%,4
6/20/2003,995.69,27.38,20.29,24.45,20.34,30.2,22.92,21.09,17.52,22.52,0%,36
6/23/2003,981.64,27.04,20.18,24.38,20.03,29.7,22.64,20.7,17.17,22.28,-1%,5
6/24/2003,983.45,27.04,20.4,24.36,20.14,29.72,22.65,20.75,17.1,22.14,0%,42
6/25/2003,975.32,26.88,20.11,24.4,20.01,29.56,22.3,20.61,16.93,22.1,-1%,13
6/26/2003,985.82,27.08,20.24,24.29,20.18,29.98,22.57,20.92,17.25,22.31,1%,60
6/27/2003,976.22,26.92,20.13,24.2,20.01,29.52,22.35,20.74,17.12,22.02,-1%,12
6/30/2003,974.5,27.09,20.16,24.05,19.94,29.33,22.39,20.73,17.07,22.12,0%,28
7/1/2003,982.32,27.03,20.33,24.03,20.17,29.49,22.44,20.68,17.31,21.97,1%,54
7/2/2003,993.75,27.28,20.46,24,20.42,29.77,22.5,20.94,17.67,22.13,1%,61
7/3/2003,985.7,27.25,20.34,23.96,20.33,29.59,22.48,20.79,17.46,22,-1%,15
